Year	Month	Day	Plot	Species	Sex	Weight	Scale uncalibrated	Weight units		
2013	7	16	2	DM	F	NA	FALSE	NA		
2013	7	16	7	DM	M	33	FALSE	g		
2013	7	16	3	DM	M	NA	FALSE	NA		
2013	7	16	1	DM	M	NA	FALSE	NA		
2013	7	18	3	DM	M	40	FALSE	g		
2013	7	18	7	DM	M	48	FALSE	g		
2013	7	18	4	DM	F	29	FALSE	g		
2013	7	18	6	DM	F	37	FALSE	g		
2013	8	19	8	DO	F	52	FALSE	NA		
2013	10	17	3	DO	F	33	FALSE	NA		
2013	10	17	3	DO	F	50	FALSE	NA		
2013	12	10	9	DO	F	40	FALSE	NA		
2013	12	10	1	DO	M	45	FALSE	NA		
2013	12	11	8	DO	F	41	FALSE	NA		
2013	11	12	9	DS	F	117	FALSE	NA		
2013	11	13	11	DS	F	126	FALSE	NA		
2013	11	13	17	DS	M	132	TRUE	NA		
2013	11	13	14	DS	F	113	TRUE	NA		
2013	11	13	11	DS	F	122	FALSE	NA		
2013	11	13	4	DS	F	107	FALSE	NA		
2013	11	13	4	DS	F	115	FALSE	NA		
2014	1	9	1	DM	M	40	FALSE	NA		
2014	1	9	1	DM	F	36	FALSE	NA		
2014	3	13	1	DM	F	51	FALSE	NA		
2014	3	13	1	DM	F	44	FALSE	NA		
2014	3	13	1	DS	F	146	FALSE	NA		
2014	1	8	2	NA	NA	NA	FALSE	NA		
2014	1	8	2	DM	M	44	FALSE	NA		
2014	1	8	2	PF	F	7	FALSE	NA		
2014	1	8	2	DM	M	45	FALSE	NA		
2014	1	8	2	OT	NA	NA	FALSE	NA		
2014	1	8	2	DS	M	157	TRUE	NA		
2014	1	8	2	OX	NA	NA	FALSE	NA		
2014	2	18	2	NA	M	218	TRUE	NA		
2014	2	18	2	PF	F	7	FALSE	NA		
2014	2	18	2	DM	M	52	FALSE	NA		
NA	3	11	3	PF	M	8	FALSE	NA		
NA	4	8	3	NA	F	NA	FALSE	NA		
NA	5	6	3	NA	NA	NA	FALSE	NA		
NA	5	18	3	NA	F	182	FALSE	NA		
NA	6	9	3	OT	F	29	FALSE	NA		
NA	7	8	3	NA	F	115	FALSE	NA		
NA	7	8	3	NA	M	190	FALSE	NA		
1978	1	8	4	DM	F	37	FALSE	NA		
1978	1	8	4	DM	M	NA	FALSE	NA		
1978	1	8	4	DM	F	48	FALSE	NA		
1978	1	8	4	DO	M	52	FALSE	NA		
1978	1	8	4	OL	M	35	FALSE	NA		
